Comment,Likes,Category
Rukmini heroine nice semma super. very nice feeling songs looke vera level,0,Positive
1:31  & 2:40 she nailed ❤,1,Neutral
Amazing..... Don't know how many times I'm listening to this song.... Madan Karki has once again proved......❤,0,Positive
❤,0,Neutral
Malayalam version is the best 🔥,1,Positive
Enna alagu😍😍😍😍😍,0,Question
Rukmini kolriye 😍😍😍😍,0,Neutral
March 21 anyone,1,Neutral
வெளிச்சமா இருக்குனு வின்மினி  பின்னாடி  போயிறதின்க தொழங்சு போயிருவின்க..... இந்த கவிதை    ஃபர்ஸ்ட் கேக்கும் போது  செம்ம  ஃபீல்....   Super   feel song ....,1,Positive
Chow chow is super ❤❤❤❤❤❤❤❤❤🎉🎉,0,Positive
3.18 pure magic 🪄✨,3,Neutral
🖤🖤🖤🖤🖤,0,Neutral
Rukku ❤️❤️😍😍,0,Neutral
Cable connections wrong way,0,Neutral
Raja cable😅,0,Neutral
"மலையாளம் "" கன்னடா "" தெலுங்கு  "" ஹிந்தி  எல்லா  பாடலையும்  தூக்கி  சாப்டிருச்சு  டா  .... நம்ம ""தமிழ் "" ❤️🥶🔥",36,Neutral
Anyone today 😅,3,Neutral
March 6 ❤,2,Neutral
😊😊,0,Neutral
❤❤song super,1,Positive
My favourite song the year ❤,0,Neutral
Super super,0,Positive
என்னோட அம்மாக்கு பிடிச்ச பாட்டு❤🫂,2,Neutral
March 05❤,1,Neutral
Theatre experience was amazing ❤🎉,2,Positive
March 3 ❤,0,Neutral
Tq katara,0,Neutral
March 02 ❤,0,Neutral
Someone special ❤❤,2,Neutral
Beautiful lyrics 😊,1,Positive
1:25  this lyrics was my favourite 🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉,0,Neutral
This movie was thrilling by experiance❤,0,Neutral
2:1 ultimet,0,Neutral
2:55 woww ❤🎉,1,Neutral
☺️☺️☺️☺️☺️☺️☺️🥰🥰🥰❤️❤️❤️🫀🫀🫀🫀❤️❤️🥰❤️🫀🫀❤️❤️❤️❤️🫀❤️🥰❤️🫀💞💞😭,1,Neutral
🥰,0,Neutral
I like it 💜💜💜,1,Neutral
1:25,0,Neutral
I love this song,2,Neutral
❤❤,0,Neutral
1:20,0,Neutral
🙌🫂🎤🎥💋💞👏👌💥,0,Neutral
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வ...

Full lyrics at Bharatlyrics.com: வேங்குழலில் இழைந்தாயடி Vaenguzhalil Ezhaindayadi Lyrics - K S Harisankar, Chinmayi Sripada https://bharatlyrics.com/vaenguzhalil-ezhaindayadi-lyrics/",2,Neutral
❤❤,0,Neutral
Super song ❤❤🎉🎉🎉,2,Positive
Nice bgm,0,Positive
1:13 of these song,9,Neutral
I love this song very much,0,Neutral
Super song❤,0,Positive
2:11,0,Neutral
2:12  _நீ இன்னும் இன்னும் இன்னும் வேண்டுமே..._,1,Neutral
❤❤❤❤❤❤❤,0,Neutral
Superb 🎉,0,Positive
In earphone......just 💥😩💗✨,0,Neutral
2:11 நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே wowwwwwwwwww ❤️🥰என என்னதிதழ் உனதுடல் தீண்டுமே 🥰❤️......,3,Neutral
1.06,0,Neutral
O:05❤,0,Neutral
In that movie,0,Neutral
The heroine is very crazy no😂,0,Neutral
3:09,0,Neutral
❤,1,Neutral
I saw this at home also 🫠🫠🫠,0,Neutral
0:17 bgm 🥵🥶🎧,47,Neutral
ஓம் ஶ்ரீ சாய் ராம் 🙏🙏🙏,0,Neutral
1:13 ❤️‍🩹😫🌍🎀🥺,2,Neutral
❤💕🌹,0,Neutral
How many ❤rukmini crush❤❤❤here🥰😘😘😘,1,Question
OG Madhan karky anna lyrics♥️😇,0,Neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,Neutral
https://youtube.com/shorts/3GmTiHklkb4?si=luHJZMwksuGRuEBJ,0,Neutral
உன் மார்பை இருக்கும் துணியால். கைதாக்கினால்❤❤❤,1,Neutral
I love song❤❤,0,Neutral
Voice melt kekum pothey nenachen chinmayi mam ah than irukkumnu,4,Neutral
Anyone2026❤,0,Neutral
Iva than da periya velaiya pathuvittu poita😅😅😅😂😂,3,Neutral
2026 here ❤❤,0,Neutral
💙melting,1,Neutral
My dream songs,0,Neutral
2:04 voiceuhh❤❤,3,Neutral
1.03 💥,0,Neutral
Most underrated song😢...but my favourite ❤❤❤..semma lines💕,0,Positive
En son ku just 3 1/2 years old boy but daily 5 times ku mela intha song kapan,6,Neutral
Am just melted that song ❤oh my god  its so beautiful music an lyrics ❤,4,Positive
❤❤❤❤❤❤❤❤,0,Neutral
wow super song.....👌👌,0,Positive
Entha oru song thaaa mind Full ahaaaaaa adhuvum anthaa voice aaaaaagaaaa konuttaaan pongaa 65 time ketta aaanalum bore agalaaaa,3,Neutral
No words can express how much I love this song❤...What a song...🥹😍,2,Neutral
2:11 wooooooooow,0,Neutral
Anyone 2026,0,Neutral
Wow🧡🔥🧡,1,Neutral
Super  super song❤❤❤❤❤❤,1,Positive
Theater experience ♥️Dolby Atmos 🫡,4,Neutral
என்ன song டா இது வேற லெவல் ல எழுந்திருக்காங்க ❤❤❤🎉🎉❤️,1,Neutral
❤❤❤❤❤❤,0,Neutral
Ippo vantha pudhu padathula enaku romba pidicha song Ithu mattum dha,2,Neutral
"Malathi seems to be good, but she is too bad I, don't like him",0,Negative
Chimayee Akka voice ❤,3,Neutral
0:37 ❤️🤧,0,Neutral
Ithuthan Nalla music..inthe anirudh music eppothume same n yerichala irukum,1,Neutral
Velichama irrukunu minmini pinnadi poidadhinge tholanchupoiduvinge🤔,0,Neutral
This is my dream song❤💗🩷💞💓💖💝🌸💘❤️‍🔥🫶🌹💐🌸🪷💮,0,Neutral
❤,0,Neutral
Chinmyee akka  voice  wow ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5,Neutral
❤valli.loveyou.song,1,Neutral
🎉❤🎉🎉🎉🎉👌,0,Neutral
Super song,0,Positive
My favorite.... ❤,1,Neutral
2026 ........❤❤❤❤🎉🎉🎉🎉,2,Neutral
Day by day views ⚡⚡⚡⚡,4,Neutral
Bgm and Singers are super voice for this song ❤️❤️,4,Positive
❤❤❤❤❤❤,0,Neutral
1:40😍,0,Neutral
Tamil song is best feeling,1,Positive
Anyone from 2026 ❤😂,3,Neutral
நெடு நாட்கள் கழித்து ஒரு நல்ல திரைப்படம் பார்த்ததில் மகிழ்ச்சி. ❤,11,Neutral
"Nice lines, ending 👏🤞🫶",0,Positive
2:40 sema,2,Neutral
1:1 Vera level super ❤,1,Positive
2026 anyone,0,Neutral
Anyone 2026,0,Neutral
any one in 2026✋,1,Neutral
❤,1,Neutral
https://youtube.com/shorts/vjBwePEANbc?si=V-qL47GNVRVsRUo9,0,Neutral
67😊,0,Neutral
1.23 what a chores score 🎼🎼🎶🎶🎼🎶🎶🎶,1,Neutral
"Now tamil cinima spoiled by evils vijay and Ajith like commercial stars, when 90's golden period will come? Nowadays I seeing kannada movies and telugu movies",0,Question
"0:59 
Very level",0,Neutral
"My Chlm fav song ❤
I miss my Chlm😭😭😭
Miss you so much & love you ❤",0,Neutral
Nice song.. ❤️,0,Positive
1:26 oh my God 😮,4,Neutral
Lyrics vera level....yenakku mattu dhan apdi kettu cha illa adhu apdidhana,2,Positive
My heart melt 💖 this songs liycs,0,Neutral
Myy favv...❤👀💘😫,2,Neutral
I memory is sabarimalai ❤❤❤❤ ayyappa,3,Neutral
❤❤❤,0,Neutral
Really super good song 👍,1,Positive
Super movie and songs also🎉😊😊❤,1,Positive
❤❤❤❤❤❤,0,Neutral
Almost 2 months over. But can't overcome from impact of this song😢❤🎉🎉. #19th December,2,Neutral
Iam a vijay fan but My most favourite movie of all time kanthara 1&2 .,1,Neutral
More than 5 times mela parthuta vimz bro🤣🤣tan tan tan illa na enna bro tanna na re na re (kgf bgm)Iruku la🤣🤣🤣😆,0,Neutral
The song that enchanted me has melted away.💓🤗🤗🤗❤,0,Neutral
Singers awesome selection 🎉🎉🎉,1,Positive
Such a cute song ❤,0,Neutral
1:26 peak 💥🔥,0,Neutral
👌❤❤❤,0,Neutral
1:25 the corus and the sword scene 😳👀 make me goosebumps ❤,3,Neutral
Bgm melted😢🙌🏻🔥,5,Neutral
1:24 and 2:35 the music and the lady voice is really mesmerising which gives goose bump.🤗🤗🤗,2,Neutral
Harishankar bro 🫶✨,0,Neutral
1:27 to 1:39🎉🎉 beautiful,1,Positive
1:26❤ melting my heart,0,Neutral
3:05 💀,1,Neutral
Thee endru eriyum Kadu ondru 😊,0,Neutral
"உலகே பொய்யடி 
கனவே மெய்யடி...

Yup it's true... Picked line nice❤",0,Positive
❣,0,Neutral
Beautiful song ever seen😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,Positive
Recently addicted this song and   i like herione thirumpa thirumpa paathutu iruka🎉🎉🎉,0,Neutral
Madana Mana Mohini Remix Dropped!💓,0,Neutral
I like the song ❤,0,Neutral
😅😊 we need tamil audio jukebox for kantara 2,1,Neutral
❤❤❤❤❤❤❤❤❤,0,Neutral
Day by day I'm addicted to this song❤❤❤,2,Neutral
"Im furious !! Who is the makeup artist? Makeup artist is the one in duty to make sure all things are well prepared for bride a day before, Anyone in the position to do her hair do",1,Question
Katara🎉 this,0,Neutral
Extreme level of feeling ❤,1,Neutral
அழகான தமிழ் வரிகள்❤❤❤,3,Neutral
Deserved to touch 1000cr this film 🎥 😍,1,Neutral
Is Vizhiyile Mani Vizhiyile song from Raja sir and this song is same Raagam? I can feel some sounding similarities.,0,Question
my favourite song ❤❤❤❤❤🎉🎉🎉,0,Neutral
Mujhe hindi samajh m aata h,0,Neutral
Super song 😍😍,1,Positive
Berme nailed,0,Neutral
0:16😎,0,Neutral
Beautiful song,0,Positive
One of my favorite recently❤,0,Neutral
Voice ❤❤❤❤,0,Neutral
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி...கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி
என் காதயே!...
மென்மயங்கி கிடந்தேனடி
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே...ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட...",139,Neutral
❤😂🎉A😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊,1,Neutral
So Emothional 🤧😢😢song Attraktive this Leriks 😢😭😭,1,Neutral
1.12.2025 yaaru pakkuringa,1,Neutral
"First time - Not bad 😅
Second time - Ok 🎉
Third time - Superb ❤
Then - Wow nice 😳 
Now - Addicted... 💕🔥🎧",29,Negative
1:25 mind blowing 🎭❤️🥹,5,Neutral
#Muthamazhai chinmayi 💫😍,1,Neutral
Rukmani now❤ at climax💀,3,Neutral
Anyone Nov 30 listen the song ?,0,Question
0:20 so gud obsesses with the vocals,2,Neutral
❤️❤️❤️❤️❤️❤️❤️,1,Neutral
Latest attited the song 🎵 ♥️,0,Neutral
neriya movie theatre la paathu iruka but entha movie um marupadiyum pakanum nu thoanala.entha movie mattum paakkanum nu thonudhu marubadiyum🎉❤❤❤,1,Negative
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,Neutral
Very beautiful songs like,1,Positive
Hi,0,Neutral
My favourite song ❤❤❤❤❤,1,Neutral
Who all today,1,Question
Addicted this song,4,Neutral
❤❤️,1,Neutral
Who else watching this song on 27/11/2025,0,Question
"பாட்டின் வரிகள் மற்றும் பாடகர்களின் குரல்வளம் அருமை ,",3,Neutral
I really missed this movie in theatre 😔,1,Neutral
❤❤❤,0,Neutral
Melting voice ✨🤗💗,1,Neutral
Now my fav song🤕😩,1,Neutral
Sema Song .. ❤❤❤🥰🥰,1,Neutral
Recently addicted,2,Neutral
I love love love this song very much and varigalin vadivam azhago azhagu,1,Neutral
This  song  fully fresh feel ya,4,Neutral
I like malayalam version,0,Neutral
❤❤,0,Neutral
S iam also addicted 24.11.25,0,Neutral
Super,2,Positive
15 lakhs kuduthu udathava vendum om sri kubeyraya namaga,0,Neutral
2:20 lyriics ne ennum ennum❤,0,Neutral
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
பெண் : கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

ஆண் : நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே
பெண் : ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

ஆண் : உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட",2,Neutral
Semma song,0,Positive
1:41,0,Neutral
🫠🫠🫠💙💙💙💙💙💙💙💙,0,Neutral
"சத்தியன் அவர்களுக்கு மனமார்ந்த நன்றிகள் 

திறமையை மண்ணுக்குள்ளே மூடி வச்சாலும் வெளியூல வந்துதான் ஆகும் அது திறமையின் நியதி",0,Neutral
Anyone 21:11:2025,0,Neutral
Felt like crying while hearing this song🥹❤️‍🔥,0,Neutral
Bgm 🤗🤗🤗,0,Neutral
"Karnataka, hindi, Delugu, malayalam, this song play But Not Good 
Tamil This Song Lyrics, Voice Sema Super Very Super 👌👌👌💥💥🔥🔥🔥👌",1,Negative
💖🎧💖,0,Neutral
படம் பார்த்த முதல் தினமும் இந்த பாடலை கேட்டுக்கிட்டே இருக்கேன்,2,Neutral
"வெய்ங்‌குழலிழைந்தாயடீ
என் காதையே!
மென்மயங்கிக் கிடந்தேனடீ
என் போதையே!

வேலென்றறுதிக்கும் விழிகள்
இரண்டும் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கும் துணியால்
என்னை நீ கைதாக்கினாய்

உலகே பொய்யடீ
கனவே மெய்யடீ
அதில் வாழ்வோமா பூங்கொதையே!

தீயென்-றெரியும் காடொன்றில்
கீசாக் கிளிகள் உரவாட
நீண்டெ விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வெய்ங்‌குழலிழைந்தாயடீ
என் காதையே!
மென்மயங்கிக் கிடந்தேனடீ
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக என்னை பரிமாற
கருங்கனி சுவையில் உயிர் ஊற
துறந்தேனே நாணம் வெறியேற

நீ இன்னுமின்னுமின்னும் வேண்டுமா
என எனதிதழ் உனதுடல் தீண்டுமா
ஏ உனை இடையணியென பூண்டுமா
நீ இறங்கிட இதயம் தூண்டுமா

இறங்காதேரோ
உயிராய் மாறேனோ
வலித்தாங்கயோ பூங்கொதையோ!

தீயென்-றெரியும் காடொன்றில்
கீசாக் கிளிகள் உரவாட
நீண்டெ விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேலென்றறுதிக்கும் விழிகள்
இரண்டும் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கும் துணியால்
என்னை நீ கைதாக்கினாய்

உலகே பொய்யடீ
கனவே மெய்யடீ
அதில் வாழ்வோமா பூங்கொதையே",2,Neutral
உங்கள் சிரிப்பு நன்றாக இருந்தது❤😊😊😊,0,Neutral
Rishab  Shetty song,0,Neutral
❤❤❤❤,0,Neutral
❤❤❤❤❤,0,Neutral
Dedicated to my azhagamma,0,Neutral
❤,0,Neutral
20 11 2025❤,1,Neutral
Who is watching on 19/11/2025 10.40pm,0,Question
0:11,0,Neutral
0:11,0,Neutral
❤❤❤🎉,0,Neutral
1:26 is amazing parts in this song❤❤❤,0,Positive
"Tamil is more better than other language 

Especially lyrics and singers",0,Neutral
0:59 to 1:25 🕯️,0,Neutral
Tamil version ❤❤❤❤❤❤,0,Neutral
Mandaika oodite iruku indha song😍😍😍🤌🏻❤️💥,1,Neutral
Theater feel hitz different😍😍😍✨ loop song🎀🧚🏻‍♀😇,1,Neutral
❤,0,Neutral
Therter la intha song nan sariya experience pannala ipo nalla irukku good song,0,Positive
"வைரமுத்து எனும் (வரி)ப்புலிக்கு 
பிறந்த குட்டிப்புலியின்
வரிகள் :மதன்கார்க்கி🧡🐯🔥",1,Neutral
Semma song,0,Positive
"Still addicted to this song ❤
What a voice ☺️😍",0,Neutral
Theatre goosebumps❤️🔥,0,Neutral
Anyone today❤❤❤,0,Neutral
Great lyrics ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,Positive
Lyrics super ❤,0,Positive
Pls release orginal tamil dubbed version tamil subtitles add pls,0,Neutral
WOW song,0,Neutral
Heart touching music n voice....song..,0,Neutral
"I Love this Song. My daily morning routine to hear this song.
Rishab thanks for creating such a song which makes goosebumps everytime we hear it. You deserve an Oscar award. For Kanthara.  I wish you all the best",0,Positive
"I Love this Song became my daily morning routine to hear this song.
Rishab thanks for creating such a song which makes goosebumps everytime we hear it. You deserve an Oscar award. For Kanthara.  I wish you all the best",0,Positive
ஊருற வீட்டுட் போயிட ஏதும் வராது 😢,0,Neutral
Super 💖,0,Positive
"0:16 this BGM is i travel this pace,i listen it",1,Neutral
Very amazing beautiful lovely (etc..... )song  ❤❤❤❤❤😊😊😊😊😊,1,Positive
1:40ses🥰🥰🥰🥰,0,Neutral
tamil version of this song is very nice,1,Positive
Platinum ✨❤️😌,0,Neutral
I like this movie and this movie 's song,0,Neutral
Anyone lestening every day this song😊,10,Neutral
Love this song so much.that chemistry is a perfect one.more than 50 times here it❤,0,Positive
Awesome ❤,0,Positive
Very Nice song❤ my favorite now🙌🏻,0,Positive
Tamil is always a sweet language   along with nice music and lyrics 💗🤩,1,Positive
Pure tamil words ✴️ proud to be a tamilian 🎉,2,Neutral
Malayalam another level💥,0,Neutral
0.17,2,Neutral
தூய தமிழ் வரிகள் பாட்டை மேலும் அழகாக மாற்றிவிட்டது,9,Neutral
Anyone listening today❤❤🎶🎶,4,Neutral
Something special about this song,1,Neutral
I like rishab shetty smile 😊,0,Neutral
முருகா உன் தமிழ்ச் ஓங்கி ஒலி க்க டும் ☀️ அதி அருணாச்சல..,1,Neutral
What a songg wowwwwwww❤❤❤❤❤,7,Question
1:27 🤤,0,Neutral
Could you please release the Karma  song from kantara 1 legend ..,0,Suggestion
Super song ❤❤❤,0,Positive
❤,0,Neutral
"Awesome movie. Awesome music, direction elame. Even the tiger looked like original. Avlo thathroobama irundhudhu.. not comparing with anyone. But still requesting new direction with new ideas inspite of the regular stories ..",1,Positive
Amazing flim❤❤❤❤❤❤,0,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,Neutral
❤❤❤,1,Neutral
🎉❤❤❤❤,0,Neutral
1:13 melts me😌❤️,47,Neutral
Mind pa Oodite Iruku Song❤,1,Neutral
Recently addicted ❤❤❤,0,Neutral
❤,0,Neutral
❤❤❤,0,Neutral
❤ vera level feel bha,0,Positive
❤❤❤❤❤❤🌹🌹🌹🌹,0,Neutral
From kerala but singers voice and music vere level,2,Neutral
1:20 this lines❤️‍🩹,17,Neutral
Feeling songs 😢,1,Neutral
Hari Sankar voice is melting ❤,0,Neutral
"Madhan Karky rocks 🎉, you are really great man ❤",3,Positive
Super song feel love ❤❤,0,Positive
❤,0,Neutral
Whole movie starting to finish fully goosebumps 🔥🔥🔥,2,Neutral
Royal salute to veer marati people. And our Ilaiyaraja sir is there unite Bharat people as one,0,Neutral
"I heard all languages version, Tamil is top",4,Neutral
11/11/2025💙,1,Neutral
